kode,uraian,is_priority,uraian_natural
400.7.21,produksi dan distribusi kefarmasian,False,
400.7.21.1,obat tradisional,False,
400.7.21.2,kosmetik dan makanan,False,
400.7.21.3,narkotika psikotropika prekursor farmasi dan sediaan farmasi khusus,False,
400.7.21.4,kemandirian obat dan bahan baku obat,False,
400.7.22,surat keterangan sertifikasi dan perijinan,False,
400.7.22.1,surat keterangan,False,
400.7.22.2,sertifikasi dan perijinan,False,
400.7.23,penanggulangan krisis kesehatan,False,
400.7.23.1,pencegahan mitigasi dan kesiapsiagaan,False,
400.7.23.2,tanggap darurat dan pemiluhan,False,
400.7.23.3,pemantauan dan informasi,False,
400.7.23.4,penanggulangan krisis kesehatan dalam bidang pengendalian penyakit dan penyehatan,False,
400.7.23.5,pelayanan kesehatan reproduksi situasi bencana,False,
400.7.24,pengembangan dan jaminan kesehatan,True,"proposal pengembangan puskesmas, permohonan bantuan alat kesehatan, laporan kegiatan jaminan kesehatan nasional, permohonan pendanaan program kesehatan masyarakat"
400.7.24.1,tersedianya data nha setiap tahun,False,
400.7.24.2,tersedianya dokumen teknis penguatan pelaksanaan jkn,False,
400.7.25,intelegensia kesehatan,False,
400.7.25.1,pemeliharaan dan peningkatan kemampuan inteligensia kesehatan,False,
400.7.25.2,penanggulangan masalah inteligensia kesehatan,False,
400.7.26,kesehatan haji,False,
400.7.26.1,pelayanan dan pendayagunaan sumber daya kesehatan haji,False,
400.7.26.2,peningkatan kesehatan dan pengendalian faktor risiko kesehatan haji,False,
400.7.27,promosi kesehatan,False,
400.7.27.1,sarana promosi kesehatan,False,
400.7.27.2,pembinaan advokasi dan kemitraan serta pemberdayaan peran,True,"proposal kerja sama promosi kesehatan, permohonan bantuan advokasi kesehatan, laporan kegiatan pembinaan masyarakat, surat undangan sosialisasi kemitraan kesehatan"
400.7.27.3,pengembangan pesan promosi kesehatan,True,"Pengajuan konsep kampanye promosi kesehatan, laporan pelaksanaan promosi kesehatan di masyarakat, permohonan bantuan dana untuk pengembangan materi promosi kesehatan, evaluasi efektivitas pesan promosi kesehatan."
400.7.27.4,hari kesehatan,False,
400.7.28,data dan informasi,False,
400.7.28.1,statistik kesehatan,False,
400.7.28.2,analisis dan diseminasi informasi,False,
400.7.28.3,pengembangan sistem informasi dan bank data kesehatan,True,"Pengembangan aplikasi pendataan kesehatan masyarakat, permohonan pengembangan sistem informasi kesehatan, laporan kemajuan pengembangan bank data kesehatan, permintaan dukungan teknis pengembangan sistem informasi kesehatan."
400.7.29,pengawasan obat tradisional kosmetik dan produk komplimen,False,
400.7.29.1,penilaian obat tradisional suplemen makanan dan kosmetik,False,
400.7.29.2,standardisasi obat tradisional kosmetik dan produk komplimen,False,
400.7.29.3,inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen,False,
400.7.29.4,obat asli indonesia,False,
400.7.30,pengawasan keamanan pangan dan bahan berbahaya,False,
400.7.30.1,penilaian keamanan pangan,False,
400.7.30.2,standardisasi produk pangan,False,
400.7.30.3,inspeksi dan sertifikasi produk pangan,False,
400.7.30.4,surveilan dan penyuluhan keamanan pangan,False,
400.7.30.5,pengawasan produk dan bahan berbahaya,False,
400.7.31,rekam medis,False,
400.8,agama dan kepercayaan,False,
400.8.1,kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah,False,
400.8.2,fasilitasi,True,"Permohonan bantuan renovasi masjid, permohonan izin pembangunan gereja, laporan kegiatan keagamaan, permohonan dana bantuan kegiatan kepercayaan"
400.8.2.1,data forum komunikasi umat beragama fkub prov atau kab atau kota,False,
400.8.2.2,pelaksanaan kerukunan umat beragama dan kepercayaan,False,
400.8.2.3,pelestarian nilai-nilai keagamaan dan kepercayan,False,
400.8.2.4,kasus keagamaan,False,
400.8.2.5,kasus aliran keagamaan,False,
400.8.3,pembinaan kepercayaan kepada tuhan yme,True,"Pembinaan kegiatan keagamaan, permohonan bantuan pembangunan tempat ibadah, laporan kegiatan kepercayaan kepada Tuhan YME, pengajuan izin pelaksanaan kegiatan keagamaan"
400.8.3.1,kelembagaan dan kepercayaan,False,
400.8.3.2,pembinaan kerukunan hidup beragama,True,"Laporan kegiatan kerukunan beragama, permohonan bantuan dana untuk kegiatan keagamaan, undangan acara dialog antar agama, laporan pertemuan dengan tokoh agama lokal"
400.8.3.3,komunitas kepercayaan,False,
400.8.3.4,pengetahuan dan ekspresi budaya tradisional,False,
400.8.3.5,lingkungan budaya dan pranata sosial,False,
400.9,sosial,False,
400.9.1,kebijakan di bidang sosial yang dilakukan oleh pemerintah daerah,False,
400.9.2,kesejahteraan sosial anak,False,
400.9.2.1,kesejahteraan sosial anak balita,False,
400.9.2.2,kesejahteraan sosial anak terlantar,False,
400.9.2.3,kesejahteraan sosial anak berhadapan dengan hukum,False,
400.9.2.4,kesejahteraan sosial anak dengan kecatatan,False,
400.9.2.5,kesejahteraan sosial anak yang membutuhkan perlindungan khusus,False,
400.9.3,rehabilitasi sosial,False,
400.9.3.1,rehabilitasi sosial orang dengan kecacatan tubuh dan bekas penderita penyakit kronis netra dan rungu wicara mental,False,
400.9.3.2,kelembagaan advokasi sosial,False,
400.9.3.3,asistensi dan pemeliharaan kesejahteraan sosial,False,
400.9.4,rehabilitasi sosial tuna sosial,False,
400.9.4.1,gelandangan pengemis dan pemulung,False,
400.9.4.2,tuna susila dan korban traffking perempuan,False,
400.9.4.3,warga binaan lembaga pemasyarakatan meliputi penyiapan reintegrasi,True,"Laporan kegiatan reintegrasi warga binaan, permohonan bantuan untuk program reintegrasi, evaluasi penyiapan reintegrasi warga binaan, surat pengantar warga binaan untuk program pelatihan kerja"
400.9.4.4,pelayanan sosial orang dengan hiv aids dan kelompok minoritas,False,
400.9.5,rehabilitasi sosial korban penyalahgunaan napza,False,
400.9.6,pelayanan sosial lanjut usia,False,
400.9.6.1,pelayanan sosial dalam dan luar panti,False,
400.9.6.2,pengembangan kelembagaan meliputi pembinaan lembaga kerjasama lembaga,True,"proposal kerjasama dengan lembaga sosial, permohonan bantuan pengembangan panti jompo, laporan kegiatan pembinaan lanjut usia, surat undangan sosialisasi program kesejahteraan lanjut usia"
400.9.6.3,advokasi dan pelayanan sosial kedaruratan,False,
400.9.7,pengumpulan dan pengelolaan sumber dana bantuan sosial,False,
400.9.8,perlindungan sosial korban tindak kekerasan dan pekerja migran,False,
400.9.9,perlindungan sosial korban bencana sosial,False,
400.9.9.1,ketahanan sosial masyarakat meliputi keserasian sosial penguatan sumber daya,False,
400.9.9.2,tanggap darurat meliputi bantuan darurat advokasi sosial,False,
400.9.9.3,pemiluhan sosial meliputi penguatan sosial reintegrasi sosial,False,
400.9.9.4,kerjasama meliputi kerjasama pemerintah kerjasama non pemerintah,False,
400.9.10,perlindungan sosial korban bencana alam,False,
400.9.10.1,kesiapsiagaan dan mitigasi,False,
400.9.10.2,tanggap darurat meliputi bantuan darurat advokasi sosial,False,
400.9.10.3,pemiluhan sosial dan penguatan sosial,False,
400.9.10.4,kerjasama,False,
400.9.11,jaminan sosial,False,
400.9.11.1,seleksi dan verifikasi,False,
400.9.11.2,asuransi kesejahteraan sosial meliputi kelembagaan pengelolaan premi,False,
400.9.11.3,bantuan langsung dan tunjangan berkelanjutan meliputi pendampingan dan penyaluran,False,
400.9.11.4,kerjasama,False,
400.9.12,pemberdayaan keluarga dan kelembagaan sosial,True,"proposal pemberdayaan keluarga miskin, laporan kegiatan pemberdayaan perempuan, permohonan bantuan untuk kegiatan sosial kemasyarakatan, surat undangan pelatihan kelembagaan sosial"
400.9.12.1,ketahanan keluarga,False,
400.9.12.2,asistensi keluarga dan pemberdayaan perempuan,True,"Proposal program pemberdayaan perempuan, laporan kegiatan asistensi keluarga, permohonan bantuan dana untuk pemberdayaan keluarga, surat undangan pelatihan keterampilan perempuan"
400.9.12.3,tenaga kesejahteraan social masyarakat dan organisasi sosial,False,
400.9.12.4,kemitraan dunia usaha,False,
400.9.12.5,karang taruna meliputi kelembagaan pengembangan kapasitas,True,"proposal pendirian karang taruna, laporan kegiatan karang taruna, permohonan bantuan pengembangan kapasitas karang taruna, surat undangan pelatihan kelembagaan karang taruna"
400.9.13,pemberdayaan komunitas adat terpencil,True,"proposal pemberdayaan masyarakat adat, laporan kegiatan pemberdayaan komunitas terpencil, permohonan bantuan pengembangan infrastruktur desa, surat pengajuan pendampingan komunitas adat terpencil"
400.9.13.1,persiapan pemberdayaan,True,"Rencana kegiatan pemberdayaan komunitas adat terpencil, proposal bantuan dana pemberdayaan, laporan persiapan pelatihan komunitas, permohonan penggunaan fasilitas untuk kegiatan pemberdayaan"
400.9.13.2,pemberdayaan sumber daya manusia,True,"proposal pelatihan keterampilan masyarakat, laporan kegiatan pemberdayaan perempuan, permohonan bantuan beasiswa pendidikan, surat pengajuan pelatihan kewirausahaan masyarakat adat terpencil"
400.9.13.3,penggalian dan pengembangan potensi,True,"proposal pengembangan potensi masyarakat adat, laporan kegiatan penggalian potensi komunitas terpencil, permohonan bantuan pengembangan usaha masyarakat, laporan kemajuan program pemberdayaan komunitas adat terpencil"
400.9.13.4,keserasian dan penguatan komunitas adat terpencil,False,
400.9.13.5,kerjasama kelembagaan,False,
400.9.14,penanggulangan Kemiskinan Perkotaan dan Perdesaan,False,
400.9.14.1,identifikasi dan analisis,False,
400.9.14.2,pengembangan kapasitas,True,"proposal pengembangan kapasitas masyarakat, laporan pelatihan peningkatan kapasitas, permohonan bantuan pelatihan kewirausahaan, surat undangan sosialisasi program penanggulangan kemiskinan"
400.9.14.3,penataan sosial lingkungan kumuh,False,
400.9.14.4,advokasi social dan pengembangan aksesibilitas,True,"proposal pengembangan akses jalan desa, permohonan bantuan untuk peningkatan kualitas hidup masyarakat, laporan kegiatan advokasi sosial kemiskinan, surat permohonan dukungan untuk program pemberdayaan masyarakat"
400.9.14.5,bantuan langsung,False,
400.9.14.6,kerjasama kelembagaan,False,
400.9.15,kepahlawanan keperintisan dan kesetiakawanan sosial,False,
400.9.15.1,penghargaan dan kesejahteraan keluarga pahlawan,False,
400.9.15.2,pelestarian nilai-nilai kepahlawanan dan keperintisan,False,
400.9.15.3,pengembangan kesetiakawanan sosial,True,"proposal pengembangan program kesetiakawanan sosial, laporan kegiatan bakti sosial, permohonan bantuan dana untuk kegiatan sosial, surat undangan untuk acara penghargaan kesetiakawanan sosial"
400.9.15.4,pengelolaan taman makam pahlawan,False,
400.10,pemberdayaan masyarakat desa,False,
400.10.1,kebijakan di bidang pemberdayaan masyarakat desa yang dilakukan oleh pemerintah daerah,True,"proposal bantuan dana pembangunan desa, permohonan pengadaan sarana air bersih, laporan kegiatan pemberdayaan masyarakat desa, pengajuan kerja sama dengan lembaga swadaya masyarakat"
400.10.2,pemerintahan desa dan kelurahan,False,
400.10.2.1,fasilitasi pengembangan desa dan kelurahan,True,"proposal pengembangan desa, permohonan bantuan dana kelurahan, laporan kegiatan pemberdayaan masyarakat desa, surat permintaan fasilitas pembangunan infrastruktur desa"
400.10.2.2,administrasi pemerintahan desa dan kelurahan,False,
400.10.2.3,fasilitasi permusyawaratan desa,True,"Notulensi Rapat Musyawaratan Desa, Undangan Pertemuan Badan Permusyawaratan Desa, Laporan Kegiatan Permufakatan Desa, Berita Acara Musyawaratan Desa"
400.10.2.4,fasilitasi pengelolaan keuangan dan aset desa,True,"proposal bantuan keuangan desa, laporan realisasi anggaran desa, permohonan pendampingan pengelolaan keuangan desa, surat pertanggungjawaban pengelolaan aset desa"
400.10.2.5,pengembangan kapasitas desa,True,"proposal pengembangan kapasitas desa, permohonan bantuan pelatihan aparat desa, laporan kemajuan program pemberdayaan masyarakat desa, surat undangan pelatihan pengembangan kapasitas kelembagaan desa"
400.10.3,kelembagaan dan pelatihan masyarakat,False,
400.10.3.1,lembaga masyarakat,False,
400.10.3.2,pembangunan partisipatif,False,
400.10.3.3,pendataan potensi masyarakat,False,
400.10.3.4,pengembangan kawasan perdesaan,True,"proposal pengembangan kawasan perdesaan, laporan kemajuan program pembangunan desa, permohonan bantuan dana untuk pembangunan infrastruktur desa, surat pemberitahuan kegiatan pelatihan masyarakat desa"
400.10.3.5,pelatihan masyarakat,False,
400.10.4,pemberdayaan adat dan sosial budaya masyarakat,True,"proposal pemberdayaan masyarakat adat, permohonan bantuan pengembangan seni budaya, laporan kegiatan sosial budaya masyarakat, pengajuan anggaran untuk pelestarian adat istiadat"
400.10.4.1,budaya nusantara,False,
400.10.4.2,pemberdayaan perempuan,True,"proposal pemberdayaan perempuan desa, laporan kegiatan pelatihan kewirausahaan perempuan, permohonan bantuan dana untuk program pemberdayaan perempuan, surat undangan untuk sosialisasi hak-hak perempuan"
400.10.4.3,pemberdayaan dan kesejahteraan keluarga,True,"proposal pemberdayaan keluarga, laporan kegiatan posyandu, permohonan bantuan dana kesejahteraan keluarga, surat undangan pelatihan keterampilan ibu rumah tangga"
400.10.4.4,kesejahteraan sosial,False,
400.10.4.5,tenaga kerja perdesaan,False,
400.10.5,usaha ekonomi masyarakat,False,
400.10.5.1,usaha pertanian dan pangan,False,
400.10.5.2,usaha perkreditan dan simpan pinjam,False,
400.10.5.3,produksi dan pemasaran,False,
400.10.5.4,usaha ekonomi dan keluarga,False,
400.10.5.5,ekonomi perdesaan dan masyarakat tertinggal,False,
400.10.6,sumber daya alam dan teknologi tepat guna perdesaan,False,
400.10.6.1,fasilitasi konservasi dan rehabilitasi lingkungan perdesaan,True,"proposal pengembangan hutan desa, permohonan bantuan pengelolaan sumber daya air, laporan kegiatan konservasi lingkungan, surat permohonan pendampingan teknis rehabilitasi lahan kritis"
400.10.6.2,fasilitasi pemanfaatan lahan dan pesisir perdesaan,True,"proposal pengembangan lahan pertanian, permohonan bantuan mesin pengolahan hasil pertanian, laporan kegiatan fasilitasi pemanfaatan lahan, surat permohonan izin penggunaan lahan pesisir"
400.10.6.3,fasilitasi prasarana dan sarana perdesaan,True,"proposal perbaikan jalan desa, permohonan bantuan peralatan pertanian, laporan kegiatan pembangunan sarana air bersih, permohonan pendirian pusat pelatihan teknologi tepat guna"
400.10.6.4,fasilitasi pemetaan kebutuhan dan pengkajian teknologi perdesaan,True,"proposal pengembangan teknologi tepat guna, permohonan bantuan mesin pertanian, laporan kebutuhan infrastruktur desa, surat permintaan pelatihan penggunaan teknologi perdesaan"
400.10.6.5,pemasyarakatan dan kerjasama teknologi perdesaan,False,
400.10.7,badan usaha milik desa bumdes,False,
400.12,kependudukan dan catatan sipil,False,
400.12.1,kebijakan di bidang kependudukan dan catatan sipil yang dilakukan oleh pemerintah daerah,False,
400.12.2,pendaftaran penduduk,False,
400.12.2.1,identitas penduduk,False,
400.12.2.2,pindah datang penduduk dalam wilayah nkri,False,
400.12.2.3,pindah datang penduduk antar negara,False,
400.12.2.4,pendataan penduduk rentan,False,
400.12.2.5,monitoring evaluasi dan dokumentasi,True,"Laporan hasil monitoring kependudukan, evaluasi pelaksanaan pendaftaran penduduk, dokumentasi data kependudukan, permohonan data penduduk untuk keperluan penelitian"
400.12.3,pencatatan sipil,False,
400.12.3.1,kelahiran dan kematian,False,
400.12.3.2,perkawinan dan perceraian,False,
400.12.3.3,pengangkatan pengakuan dan pengesahan anak serta perubahan,False,
400.12.3.4,pencatatan kewarganegaraan,False,
400.12.3.5,monitoring evaluasi dan dokumentasi,True,"Laporan kemajuan pencatatan sipil, evaluasi kinerja catatan sipil, permohonan data kependudukan, laporan hasil monitoring evaluasi pencatatan sipil"
400.12.4,pengelolaan informasi administrasi kependudukan,False,
400.12.4.1,sistem informasi administrasi kependudukan,False,
400.12.4.2,kelembagaan informasi administrasi kependudukan,False,
400.12.4.3,pengelolaan data administrasi kependudukan,False,
400.12.4.4,penyajian dan layanan informasi administrasi kependudukan,False,
400.12.4.5,monitoring evaluasi dan dokumentasi,True,"Laporan hasil monitoring kependudukan, evaluasi pelaksanaan program kependudukan, dokumentasi data kependudukan, permohonan data kependudukan untuk analisis"
400.12.5,pengembangan kebijakan kependudukan,True,"Proposal pengembangan kebijakan kependudukan, laporan analisis data kependudukan, permohonan bantuan pengembangan sistem informasi kependudukan, surat edaran tentang kebijakan kependudukan baru"
400.12.5.1,kuantitas penduduk,False,
400.12.5.2,kualitas penduduk,False,
400.12.5.3,mobilitas penduduk,False,
400.12.5.4,perlindungan dan pemberdayaan penduduk,True,"Laporan kegiatan pemberdayaan masyarakat, proposal pengembangan program perlindungan penduduk, permohonan bantuan untuk penduduk terdampak bencana, laporan hasil evaluasi kebijakan kependudukan"
400.12.5.5,pengembangan wawasan kependudukan monitoring dan evaluasi,True,"Laporan evaluasi kebijakan kependudukan, proposal pengembangan wawasan kependudukan, permohonan data kependudukan untuk monitoring, laporan hasil analisis kependudukan"
400.12.6,penyerasian kependudukan,False,
400.12.6.1,indikator kependudukan,False,
400.12.6.2,proyeksi penduduk,False,
400.12.6.3,perencanaan kependudukan,False,
400.12.6.4,penyerasian kebijakan kependudukan dengan lembaga non pemerintah,False,
400.12.6.5,pelaksanaan penyerasian kebijakan kependudukan dengan lembaga pemerintah,False,
400.13,keluarga berencana,False,
400.13.1,kebijakan di bidang keluarga berencana yang dilakukan oleh pemerintah daerah,False,
400.13.2,analisis pengaduan kebijakan pengendalian penduduk,False,
400.13.2.1,pengumpulan dan pengolahan data,False,
400.13.2.2,evaluasi dan pelaporan,True,"Evaluasi pelaksanaan program keluarga berencana, laporan kemajuan pengendalian penduduk, analisis pengaduan masyarakat terkait kebijakan penduduk, laporan hasil monitoring kebijakan pengendalian penduduk"
400.13.3,fasilitas pengaduan kebijakan pengendalian penduduk,False,
400.13.3.1,penyiapan fasilitas,False,
400.13.3.2,evaluasi dan pelaporan,True,"Laporan Evaluasi Program Keluarga Berencana, Evaluasi Kinerja Fasilitas Pengaduan Kependudukan, Pelaporan Kegiatan Pengendalian Penduduk, Laporan Hasil Monitoring Kebijakan Kependudukan"
400.13.4,profil dan proyeksi penduduk,False,
400.13.4.1,data profil dan proyeksi penduduk,False,
400.13.4.2,evaluasi data profil dan proyeksi penduduk,True,"Evaluasi Data Penduduk Tahunan, Laporan Profil Penduduk Kabupaten, Analisis Proyeksi Penduduk untuk Perencanaan Pembangunan, Revisi Data Profil Penduduk Berdasarkan Hasil Sensus Terbaru"
400.13.5,penetapan parameter pengendalian penduduk,False,
400.13.5.1,penetapan sasaran parameter,False,
400.13.5.2,evaluasi sasaran parameter,True,"Evaluasi capaian sasaran keluarga berencana, laporan kemajuan pengendalian penduduk, analisis keberhasilan program keluarga berencana, rekomendasi revisi parameter pengendalian penduduk"
400.13.6,pemanfaatan perencanaan pengendalian penduduk,False,
400.13.6.1,pemanfaatan profil dan proyeksi,False,
400.13.6.2,pemanfaatan parameter,False,
400.13.7,pengembangan sistem,True,"proposal pengembangan aplikasi keluarga berencana, laporan kemajuan pengembangan sistem informasi keluarga berencana, permohonan bantuan pengadaan peralatan sistem keluarga berencana, notifikasi pelatihan pengembangan sistem keluarga berencana"
400.13.7.1,pengembangan sistem jalur pendidikan formal,True,"proposal pengembangan kurikulum pendidikan keluarga berencana, laporan kegiatan pendidikan kesadaran reproduksi remaja, permohonan bantuan sarana pendidikan untuk program keluarga berencana, surat edaran tentang pemberdayaan pendidikan keluarga berencana di sekolah"
400.13.7.2,pengembangan sistem jalur pendidikan nonformal dan informal,True,"proposal pengembangan program pendidikan nonformal, laporan kegiatan pelatihan informal, permohonan bantuan sarana pendidikan nonformal, evaluasi sistem pendidikan jalur nonformal dan informal"
400.13.8,pengembangan materi,True,"proposal pengembangan modul keluarga berencana, laporan kegiatan pengembangan materi keluarga berencana, permohonan bantuan pengadaan alat peraga keluarga berencana, notulen rapat pengembangan materi keluarga berencana"
400.13.8.1,pengembangan materi jalur pendidikan formal,True,"proposal pengembangan kurikulum pendidikan keluarga berencana, laporan kegiatan pendidikan kesadaran reproduksi remaja, permohonan bantuan alat pembelajaran keluarga berencana, surat edaran pengintegrasian materi keluarga berencana dalam kurikulum sekolah"
400.13.8.2,pengembangan materi jalur pendidikan nonformal dan informal,True,"proposal pengembangan modul pendidikan nonformal, laporan kegiatan pelatihan informal, permohonan bantuan pengadaan buku pelajaran nonformal, surat undangan sosialisasi program keluarga berencana melalui pendidikan nonformal"
400.13.9,monitoring dan evaluasi,True,"Laporan hasil monitoring dan evaluasi keluarga berencana, evaluasi program keluarga berencana, permohonan data keluarga berencana, laporan kemajuan program keluarga berencana"
400.13.9.1,monitoring dan evaluasi jalur pendidikan formal,True,"Laporan kemajuan program keluarga berencana di sekolah, evaluasi kegiatan pendidikan keluarga berencana di madrasah, monitoring pelaksanaan program keluarga berencana di SMA, laporan hasil evaluasi pendidikan keluarga berencana di SD"
400.13.9.2,monitoring dan evaluasi jalur pendidikan nonformal dan informal,True,"Laporan kemajuan program pendidikan nonformal, evaluasi kegiatan pendidikan informal, permohonan bantuan pendidikan nonformal, hasil monitoring pendidikan masyarakat"
400.13.10,analisis sosial,False,
400.13.11,analisis ekonomi,False,
400.13.12,analisis dampak politik pertahanan dan keamanan,False,
400.13.13,analisis daya dukung dan daya tampung lingkungan,False,
400.13.14,bina keluarga berencana rumah sakit dan klinik pemerintah,True,"Laporan kegiatan bina keluarga berencana di rumah sakit, permohonan bantuan alat kontrasepsi untuk klinik pemerintah, evaluasi program keluarga berencana di klinik, surat pengajuan pelatihan untuk petugas keluarga berencana rumah sakit"
400.13.15,jaminan pelayanan dan penyediaan sarana keluarga berencana,False,
400.13.16,kualitas pelayanan keluarga berencana pemerintah,False,
400.13.16.1,standarisasi pelayanan keluarga berencana pemerintah,False,
400.13.16.2,monitoring dan evaluasi pelayanan keluarga berencana pemerintah,True,"Laporan Hasil Monitoring dan Evaluasi Pelayanan Keluarga Berencana, Evaluasi Kinerja Pelayanan Keluarga Berencana, Permohonan Data Pelayanan Keluarga Berencana, Laporan Kemajuan Pelayanan Keluarga Berencana"
400.13.17,bina keluarga berencana rumah sakit dan klinik swasta,True,"Pengajuan kerjasama rumah sakit dengan dinas kesehatan, laporan kegiatan bina keluarga berencana di klinik swasta, permohonan bantuan alat kontrasepsi untuk rumah sakit, surat pemberitahuan pelatihan keluarga berencana bagi staf klinik swasta"
400.13.18,jaminan dan ketersediaan sarana keluarga berencana swasta,False,
400.13.19,kualitas pelayanan keluarga berencana swasta,False,
400.13.19.1,standarisasi pelayanan keluarga berencana swasta,False,
400.13.20,akses dan kualitas pelayanan keluarga berencana jalur wilayah tertinggal terpencil dan perbatasan,False,
400.13.20.1,peningkatan akses pelayanan keluarga berencana wilayah tertinggal terpencil dan perbatasan,False,
400.13.20.2,peningkatan kualitas pelayanan keluarga berencana wilayah tertinggal terpencil dan perbatasan,False,
400.13.21,akses dan kualitas pelayanan keluarga berencana wilayah miskin perkotaan,False,
400.13.21.1,peningkatan akses pelayanan keluarga berencana wilayah miskin perkotaan,False,
400.13.21.2,peningkatan kualitas pelayanan keluarga berencana wilayah miskin perkotaan,False,
400.13.22,kesertaan keluarga berencana pria,False,
400.13.22.1,peningkatan akses keluarga berencana pria,False,
400.13.22.2,peningkatan partisipasi keluarga berencana pria,False,
400.13.23,kelangsungan hidup ibu bayi dan anak,False,
400.13.24,pencegahan pms dan hiv aids,False,
400.13.25,pencegahan kanker alat reproduksi dan penanggulangan infertilitas,False,
400.13.26,pelembagaan bina keluarga balita dan anak,True,"Laporan kegiatan bina keluarga balita, proposal pengembangan program bina keluarga, permohonan bantuan untuk kegiatan posyandu, laporan evaluasi pelembagaan bina keluarga balita dan anak"
400.13.26.1,pengembangan kelompok bina keluarga balita dan anak,True,"Laporan kegiatan pengembangan kelompok bina keluarga balita dan anak, proposal pengajuan dana untuk kegiatan bina keluarga balita dan anak, undangan pelatihan pengembangan kelompok bina keluarga balita dan anak, permohonan bantuan alat permainan edukatif untuk kelompok bina keluarga balita dan anak"
400.13.26.2,pengembangan kemitraan bina keluarga dan anak,True,"Proposal kerja sama dengan organisasi non pemerintah untuk bina keluarga, undangan sosialisasi program bina keluarga balita, permohonan bantuan dana untuk pengembangan bina keluarga, laporan kegiatan kemitraan bina keluarga dan anak"
400.13.27,monitoring dan evaluasi bina keluarga balita dan anak,True,"Laporan kemajuan bina keluarga balita, evaluasi program bina keluarga balita, permohonan bantuan untuk bina keluarga balita, laporan hasil monitoring dan evaluasi bina keluarga balita dan anak"
400.13.27.1,monitoring bina keluarga balita dan anak,True,"Laporan kemajuan bina keluarga balita, evaluasi program bina keluarga balita, permohonan bantuan untuk kegiatan bina keluarga balita, laporan hasil monitoring bina keluarga balita dan anak"
400.13.27.2,evaluasi dan pelaporan bina keluarga balita dan anak,True,"Laporan Evaluasi Bina Keluarga Balita, Pelaporan Kegiatan Bina Keluarga Anak, Evaluasi Program Keluarga Berencana, Laporan Kemajuan Bina Keluarga Balita dan Anak"
400.13.28,pelembagaan bina ketahanan remaja,True,"Pengajuan proposal bina ketahanan remaja, laporan kegiatan pelembagaan bina ketahanan remaja, permohonan bantuan dana untuk program bina ketahanan remaja, undangan pelatihan bina ketahanan remaja"
400.13.28.1,pelembagaan bina ketahanan remaja jalur pendidikan,True,"Laporan kegiatan bina ketahanan remaja, proposal pendirian kelompok bina remaja, permohonan bantuan dana untuk kegiatan remaja, evaluasi program bina ketahanan remaja jalur pendidikan"
400.13.28.2,pelembagaan bina ketahanan remaja jalur masyarakat,True,"Proposal pelembagaan bina ketahanan remaja, laporan kegiatan bina ketahanan remaja jalur masyarakat, permohonan bantuan dana untuk pelembagaan bina ketahanan remaja, notifikasi pelaksanaan kegiatan bina ketahanan remaja jalur masyarakat"
400.13.29,monitoring dan evaluasi bina ketahanan remaja,True,"Laporan kemajuan program bina ketahanan remaja, evaluasi kegiatan bina ketahanan remaja, permohonan bantuan dana untuk kegiatan bina ketahanan remaja, hasil monitoring dan evaluasi bina ketahanan remaja"
400.13.29.1,monitoring bina ketahanan remaja,True,"Laporan kemajuan program bina ketahanan remaja, evaluasi kegiatan bina ketahanan remaja, permohonan dana untuk kegiatan bina ketahanan remaja, hasil monitoring dan evaluasi bina ketahanan remaja"
400.13.29.2,evaluasi dan pelaporan bina ketahanan remaja,True,"Evaluasi Program Bina Ketahanan Remaja, Laporan Kemajuan Bina Ketahanan Remaja, Permohonan Dana Evaluasi Bina Ketahanan Remaja, Hasil Monitoring dan Evaluasi Bina Ketahanan Remaja"
400.13.30,pengembangan program bina ketahanan keluarga lansia dan rentan,True,"proposal pengembangan program bina keluarga lansia, laporan kegiatan bina ketahanan keluarga rentan, permohonan bantuan untuk keluarga lansia, evaluasi program bina keluarga lansia dan rentan"
400.13.30.1,pengembangan program bina ketahanan keluarga lansia,True,"proposal pengembangan program bina ketahanan keluarga lansia, laporan kegiatan bina ketahanan keluarga lansia, permohonan bantuan untuk keluarga lansia, evaluasi program bina ketahanan keluarga lansia"
400.13.30.2,pengembangan program bina ketahanan keluarga rentan,True,"proposal pengembangan program bina keluarga rentan, laporan kegiatan bina ketahanan keluarga, permohonan bantuan untuk keluarga rentan, evaluasi program pengembangan keluarga rentan"
400.13.31,pelembagaan bina ketahanan keluarga lansia dan rentan,True,"Pengajuan bantuan untuk keluarga lansia, laporan kegiatan bina keluarga rentan, permohonan pendampingan keluarga lansia, evaluasi program ketahanan keluarga lansia dan rentan"
400.13.31.1,pengembangan kelompok bina ketahanan keluarga,True,"Laporan kegiatan pengembangan kelompok bina ketahanan keluarga, proposal pengembangan kelompok bina ketahanan keluarga lansia, permohonan bantuan dana untuk pengembangan kelompok bina ketahanan keluarga, evaluasi keberhasilan pengembangan kelompok bina ketahanan keluarga"
